Composites
3dsmax-07,5.07
catia-06,NaN
energy-03,1674.03
medical-03,0.74
snx-04,6.09

viewset,index,name,weight,fps
3dsmax-07,1,3dsmax_Arch_Shaded,9.52,2.98
3dsmax-07,2,3dsmax_Arch_Graphite,9.52,2.38
3dsmax-07,3,3dsmax_Space_Wireframe,9.52,14.78
3dsmax-07,4,3dsmax_Space_Clay,9.52,9.63
3dsmax-07,5,3dsmax_ProjectSoane_Shaded,9.52,1.27
3dsmax-07,6,3dsmax_ProjectSoane_Wireframe,9.52,1.45
3dsmax-07,7,3dsmax_HugeFish_Wireframe,9.52,13.94
3dsmax-07,8,3dsmax_HugeFish_Shaded,9.52,12.3
3dsmax-07,9,3dsmax_Office_Realistic,9.52,7.89
3dsmax-07,10,3dsmax_Office_Shaded,9.52,6.63
3dsmax-07,11,3dsmax_Office_RealisticMats,4.8,2.28
catia-06,1,catiaV5test1,14.28,5.91
catia-06,2,catiaV5test2,14.28,8.74
catia-06,3,catiaV5test3,0,52.52
catia-06,4,catiaV5test4,14.28,26.1
catia-06,5,CATIA_3DX_repEngine,14.29,0
catia-06,6,CATIA_3DX_loftJet,14.29,0
catia-06,7,CATIA_3DX_car,14.29,0
catia-06,8,CATIA_3DX_Multi_car,14.29,0
energy-03,1,Test1,16.67,1.16
energy-03,2,Test2,16.67,4711.29
energy-03,3,Test3,16.67,8172
energy-03,4,Test4,16.67,7851.63
energy-03,5,Test5,16.66,7696.3
energy-03,6,Test6,16.66,8166
medical-03,1,Test1,10,8.45
medical-03,2,Test2,10,10.42
medical-03,3,Test3,10,0.83
medical-03,4,Test4,10,0.6
medical-03,5,Test5,10,0.3
medical-03,6,Test6,10,0.98
medical-03,7,Test7,10,0.34
medical-03,8,Test8,10,0.86
medical-03,9,Test9,10,0.06
medical-03,10,Test10,10,0.23
snx-04,1,NX8_AdvancedStudioAA,7.5,7.7
snx-04,2,NX8_ShadedAA,10,8.15
snx-04,3,NX8_ShadedWithEdgeAA,20,4.83
snx-04,4,NX8_StudioAA,5,4.07
snx-04,5,NX8_powerTrain_Wireframe,7.5,3.31
snx-04,6,NX8_suvAdvancedStudio,7.5,10.49
snx-04,7,NX8_suvShaded,10,9.93
snx-04,8,NX8_suvShadedWithEdge,20,6.09
snx-04,9,NX8_suvStudio2,5,5.41
snx-04,10,NX8_suvWireframe,7.5,4.83
