frame, fps, time
0, 38.4793, 0
1, 38.21753, 0.026166
2, 30.135, 0.05935
3, 30.29569, 0.092358
4, 38.97876, 0.118013
5, 11.41657, 0.205605
6, 24.78991, 0.245944
7, 25.53822, 0.285101
8, 24.29425, 0.326263
9, 21.16402, 0.373513
10, 28.56653, 0.408519
11, 23.60885, 0.450876
12, 23.72592, 0.493024
13, 31.74704, 0.524523
14, 29.78229, 0.5581
15, 17.29266, 0.6159281
16, 28.73315, 0.650731
17, 30.3067, 0.683727
18, 34.25948, 0.712916
19, 31.48714, 0.744675
20, 28.13494, 0.7802181
21, 22.05509, 0.8255591
22, 29.00148, 0.8600401
23, 24.4846, 0.9008821
24, 17.64478, 0.9575561
25, 22.28412, 1.002431
26, 22.81542, 1.046261
27, 28.08437, 1.081868
28, 25.0025, 1.121864
29, 21.35976, 1.168681
30, 19.77926, 1.219239
31, 26.34421, 1.257198
32, 21.99397, 1.302665
33, 21.06816, 1.35013
34, 26.47604, 1.3879
35, 22.77178, 1.431814
36, 27.97907, 1.467555
37, 23.56268, 1.509995
38, 22.45173, 1.554535
39, 23.40112, 1.597268
40, 19.30875, 1.649058
41, 26.45503, 1.686858
42, 26.67876, 1.724341
43, 30.0093, 1.757664
44, 24.75248, 1.798064
45, 26.49989, 1.8358
46, 30.73235, 1.868339
47, 23.51337, 1.910868
48, 24.73778, 1.951292
49, 28.21432, 1.986735
50, 29.66479, 2.020445
51, 27.73848, 2.056496
52, 35.62776, 2.084564
53, 23.96932, 2.126284
54, 25.14205, 2.166058
55, 28.84754, 2.200723
56, 22.2732, 2.24562
57, 21.26257, 2.292651
58, 19.48178, 2.343981
59, 24.07782, 2.385513
60, 30.01381, 2.418831
61, 25.85516, 2.457508
62, 24.80343, 2.497825
63, 39.05792, 2.523428
64, 25.02878, 2.563382
65, 37.7615, 2.589864
66, 39.0046, 2.615502
67, 39.09151, 2.641083
68, 24.64693, 2.681656
69, 24.07376, 2.723195
70, 32.22999, 2.754222
71, 25.65945, 2.793194
72, 31.47227, 2.824968
73, 30.67673, 2.857566
74, 27.47781, 2.893959
75, 20.35333, 2.943091
76, 25.95717, 2.981616
77, 37.73727, 3.008115
78, 27.71081, 3.044202
79, 32.74394, 3.074742
80, 22.37186, 3.119441
81, 26.0797, 3.157785
82, 38.26872, 3.183916
83, 28.10252, 3.2195
84, 25.71355, 3.25839
85, 21.91445, 3.304022
86, 29.87215, 3.337498
87, 38.12138, 3.36373
88, 32.80409, 3.394214
89, 28.25896, 3.429601
90, 34.62124, 3.458485
91, 35.96993, 3.486286
92, 33.96854, 3.515725
93, 42.99781, 3.538982
94, 39.81209, 3.5641
95, 27.44764, 3.600533
96, 17.96784, 3.656188
97, 28.67712, 3.691059
98, 37.28978, 3.717876
99, 27.19682, 3.754645
100, 29.12819, 3.788976
101, 22.5134, 3.833394
102, 31.42579, 3.865215
103, 30.16864, 3.898362
104, 28.8542, 3.933019
105, 30.64289, 3.965653
106, 25.80912, 4.004399
107, 27.23905, 4.041111
108, 30.31957, 4.074093
109, 42.33342, 4.097715
110, 35.23608, 4.126095
111, 40.60089, 4.150725
112, 31.9959, 4.181979
113, 26.26671, 4.22005
114, 26.28397, 4.258096
115, 25.81245, 4.296837
116, 28.41393, 4.332031
117, 27.35978, 4.368581
118, 28.04656, 4.404236
119, 33.63606, 4.433966
120, 32.21442, 4.465008
121, 28.00885, 4.500711
122, 25.33634, 4.54018
123, 28.75298, 4.574959
124, 33.1554, 4.60512
125, 31.31753, 4.637051
126, 25.80312, 4.675806
127, 30.35086, 4.708754
128, 30.3306, 4.741724
129, 37.82578, 4.768161
130, 38.42311, 4.794187
131, 34.28885, 4.82335
132, 35.72705, 4.85134
133, 21.43347, 4.897996
134, 31.73596, 4.929506
135, 31.16236, 4.961596
136, 29.50027, 4.995494
137, 25.18955, 5.035193
138, 19.15122, 5.087409
139, 28.92933, 5.121976
140, 28.52335, 5.157035
141, 32.0041, 5.188282
142, 28.29975, 5.223618
143, 15.42972, 5.288427
144, 31.46732, 5.320206
145, 34.69452, 5.349029
146, 28.41232, 5.384225
147, 32.88068, 5.414638
148, 23.41208, 5.457351
149, 27.14072, 5.494196
150, 30.22152, 5.527286
151, 32.2435, 5.5583
152, 28.38087, 5.593534
153, 44.39511, 5.616059
154, 29.77697, 5.649642
155, 27.40928, 5.686126
156, 28.49652, 5.721218
157, 46.60049, 5.742677
158, 40.66694, 5.767267
159, 41.98329, 5.791086
160, 37.31204, 5.817887
161, 36.95355, 5.844948
162, 44.28894, 5.867527
163, 35.23112, 5.895912
164, 37.93483, 5.922273
165, 35.5366, 5.950413
166, 39.51476, 5.97572
167, 24.72127, 6.016171
168, 31.67665, 6.04774
169, 36.03474, 6.075491
170, 37.36781, 6.102252
171, 36.90037, 6.129352
172, 37.65202, 6.155911
173, 37.62935, 6.182486
174, 32.79979, 6.212974
175, 37.19131, 6.239862
176, 28.05836, 6.275502
177, 35.46728, 6.303697
178, 21.52667, 6.350151
179, 25.27103, 6.389721
180, 38.06044, 6.415996
181, 35.89633, 6.443853
182, 36.68917, 6.471109
183, 32.28619, 6.502082
184, 32.08522, 6.533249
185, 32.33002, 6.56418
186, 34.88818, 6.592844
187, 32.61259, 6.623507
188, 36.96721, 6.650558
189, 23.50176, 6.693108
190, 27.65563, 6.729267
191, 35.17411, 6.757697
192, 40.36001, 6.782474
193, 34.93694, 6.811097
194, 36.7323, 6.838321
195, 30.50734, 6.8711
196, 33.80663, 6.90068
197, 33.80434, 6.930262
198, 36.08936, 6.957971
199, 34.55903, 6.986907
200, 23.94063, 7.028677
201, 24.55796, 7.069397
202, 33.18401, 7.099532
203, 36.14414, 7.127199
204, 37.87735, 7.1536
205, 34.60686, 7.182496
206, 36.15721, 7.210153
207, 36.83241, 7.237303
208, 30.91955, 7.269645
209, 31.65158, 7.301239
210, 30.38036, 7.334155
211, 32.90556, 7.364545
212, 32.80409, 7.395029
213, 38.60706, 7.420931
214, 36.24633, 7.44852
215, 37.24811, 7.475367
216, 32.55844, 7.506081
217, 35.9402, 7.533905
218, 34.92596, 7.562537
219, 35.43963, 7.590754
220, 36.78499, 7.617939
221, 30.60163, 7.650617
222, 35.84872, 7.678512
223, 23.43622, 7.72118
224, 25.69571, 7.760098
225, 38.65631, 7.785966
226, 34.85171, 7.81466
227, 36.31609, 7.842196
228, 35.79739, 7.870131
229, 31.1013, 7.902284
230, 36.60188, 7.929605
231, 36.42191, 7.95706
232, 36.43651, 7.984505
233, 35.65317, 8.012553
234, 25.59836, 8.051619
235, 24.98126, 8.091648
236, 36.96721, 8.118699
237, 36.4113, 8.146163
238, 39.23569, 8.17165
239, 33.64738, 8.20137
240, 34.04951, 8.23074
241, 34.48514, 8.259738
242, 29.40052, 8.293751
243, 32.17917, 8.324827
244, 37.88166, 8.351225
245, 24.15109, 8.392631
246, 25.2787, 8.43219
247, 33.14331, 8.462362
248, 37.5841, 8.488969
249, 33.38564, 8.518922
250, 35.71939, 8.546918
251, 33.54804, 8.576726
252, 37.98959, 8.603049
253, 34.19271, 8.632296
254, 33.95816, 8.661743
255, 37.71166, 8.68826
256, 23.90629, 8.73009
257, 24.35994, 8.771141
258, 37.69176, 8.797672
259, 34.5937, 8.826579
260, 35.84872, 8.854474
261, 33.78949, 8.884069
262, 30.93772, 8.916392
263, 34.478, 8.945396
264, 34.94915, 8.97401
265, 37.03018, 9.001015
266, 33.89141, 9.03052
267, 22.72366, 9.074528
268, 29.03601, 9.108968
269, 37.08924, 9.13593
270, 38.52822, 9.161885
271, 33.42469, 9.191803
272, 33.01093, 9.222096
273, 36.60724, 9.249413
274, 29.15962, 9.283708
275, 29.47157, 9.317638
276, 34.19739, 9.34688
277, 22.77489, 9.390788
278, 29.89805, 9.424235
279, 33.83179, 9.453794
280, 38.55645, 9.47973
281, 32.73108, 9.510282
282, 32.44541, 9.541102
283, 32.47913, 9.571892
284, 32.98697, 9.602207
285, 33.78607, 9.631805
286, 36.58849, 9.659137
287, 22.82636, 9.702946
288, 28.8226, 9.73764
289, 32.78366, 9.768144
290, 38.5208, 9.794104
291, 35.41453, 9.822341
292, 33.63606, 9.852071
293, 36.49768, 9.87947
294, 30.05259, 9.912745
295, 37.18716, 9.939635
296, 35.15433, 9.968081
297, 37.85441, 9.994498
298, 26.50903, 10.03222
299, 27.42732, 10.06868
300, 37.56292, 10.0953
301, 33.89601, 10.1248
302, 34.53277, 10.15376
303, 36.33721, 10.18128
304, 33.79749, 10.21087
305, 37.79575, 10.23733
306, 30.77112, 10.26983
307, 29.18345, 10.30409
308, 20.70651, 10.35239
309, 23.07444, 10.39573
310, 37.75294, 10.42221
311, 34.65964, 10.45107
312, 36.8718, 10.47819
313, 35.23112, 10.50657
314, 34.10641, 10.53589
315, 34.78745, 10.56464
316, 35.40199, 10.59288
317, 37.72019, 10.61939
318, 29.72298, 10.65304
319, 29.72652, 10.68668
320, 33.27676, 10.71673
321, 34.3808, 10.74582
322, 36.05162, 10.77355
323, 34.08897, 10.80289
324, 34.19739, 10.83213
325, 29.37548, 10.86617
326, 32.72466, 10.89673
327, 33.07316, 10.92697
328, 33.19061, 10.9571
329, 22.43813, 11.00166
330, 25.09536, 11.04151
331, 34.52443, 11.07048
332, 34.06459, 11.09983
333, 32.90231, 11.13022
334, 34.86386, 11.15891
335, 36.33193, 11.18643
336, 37.02881, 11.21344
337, 32.54255, 11.24417
338, 37.08236, 11.27113
339, 17.9882, 11.32673
340, 23.69556, 11.36893
341, 27.14367, 11.40577
342, 23.19325, 11.44888
343, 25.29596, 11.48842
344, 28.09699, 11.52401
345, 21.29699, 11.57096
346, 22.86341, 11.6147
347, 21.49428, 11.66122
348, 22.91633, 11.70486
349, 25.09284, 11.74471
350, 23.0351, 11.78813
351, 26.85501, 11.82536
352, 21.28248, 11.87235
353, 23.70567, 11.91453
354, 21.34016, 11.96139
355, 28.05915, 11.99703
356, 30.20783, 12.03014
357, 28.9034, 12.06473
358, 31.26466, 12.09672
359, 37.88022, 12.12312
360, 27.21014, 12.15987
