Composites
3dsmax-07,60.18
catia-06,38.61
creo-03,67.24
energy-03,15.26
maya-06,217.39
medical-03,20.81
snx-04,14.64
solidworks-05,151.69

viewset,index,name,weight,fps
3dsmax-07,1,3dsmax_Arch_Shaded,9.52,91.8
3dsmax-07,2,3dsmax_Arch_Graphite,9.52,78.07
3dsmax-07,3,3dsmax_Space_Wireframe,9.52,104.82
3dsmax-07,4,3dsmax_Space_Clay,9.52,184.96
3dsmax-07,5,3dsmax_ProjectSoane_Shaded,9.52,16.46
3dsmax-07,6,3dsmax_ProjectSoane_Wireframe,9.52,20.71
3dsmax-07,7,3dsmax_HugeFish_Wireframe,9.52,25.39
3dsmax-07,8,3dsmax_HugeFish_Shaded,9.52,23.73
3dsmax-07,9,3dsmax_Office_Realistic,9.52,127.68
3dsmax-07,10,3dsmax_Office_Shaded,9.52,147.93
3dsmax-07,11,3dsmax_Office_RealisticMats,4.8,80.12
catia-06,1,catiaV5test1,14.28,19.07
catia-06,2,catiaV5test2,14.28,34.86
catia-06,3,catiaV5test3,0,78.31
catia-06,4,catiaV5test4,14.28,49.42
catia-06,5,CATIA_3DX_repEngine,14.29,24.04
catia-06,6,CATIA_3DX_loftJet,14.29,33.9
catia-06,7,CATIA_3DX_car,14.29,61.96
catia-06,8,CATIA_3DX_Multi_car,14.29,76.99
creo-03,1,Creo_03_test_01,8.33,58.7
creo-03,2,Creo_03_test_02,8.33,25.93
creo-03,3,Creo_03_test_03,8.34,32.81
creo-03,4,Creo_03_test_04,10,112.75
creo-03,5,Creo_03_test_05,10,227.22
creo-03,6,Creo_03_test_06,10,79.67
creo-03,7,Creo_03_test_07,10,53.81
creo-03,8,Creo_03_test_08,10,71.38
creo-03,9,Creo_03_test_09,10,24.49
creo-03,10,Creo_03_test_10,3.75,92.09
creo-03,11,Creo_03_test_11,3.75,139.69
creo-03,12,Creo_03_test_12,3.75,57.84
creo-03,13,Creo_03_test_13,3.75,216.69
energy-03,1,Test1,16.67,14.76
energy-03,2,Test2,16.67,17.02
energy-03,3,Test3,16.67,9.11
energy-03,4,Test4,16.67,21.22
energy-03,5,Test5,16.66,21.16
energy-03,6,Test6,16.66,12.28
maya-06,1,Maya_01,8.33,97.08
maya-06,2,Maya_02,8.33,591.78
maya-06,3,Maya_03,12.5,110.86
maya-06,4,Maya_04,12.5,288.01
maya-06,5,Maya_05,12.5,232.93
maya-06,6,Maya_06,8.33,106.98
maya-06,7,Maya_07,8.33,332.39
maya-06,8,Maya_08,12.5,379.11
maya-06,9,Maya_09,8.34,424.73
maya-06,10,Maya_10,8.34,85.77
medical-03,1,Test1,10,142.46
medical-03,2,Test2,10,155.94
medical-03,3,Test3,10,31.86
medical-03,4,Test4,10,17.38
medical-03,5,Test5,10,15.75
medical-03,6,Test6,10,39.82
medical-03,7,Test7,10,16.31
medical-03,8,Test8,10,25.65
medical-03,9,Test9,10,1.63
medical-03,10,Test10,10,2.88
snx-04,1,NX8_AdvancedStudioAA,7.5,84.55
snx-04,2,NX8_ShadedAA,10,10.52
snx-04,3,NX8_ShadedWithEdgeAA,20,9.67
snx-04,4,NX8_StudioAA,5,8.23
snx-04,5,NX8_powerTrain_Wireframe,7.5,7.22
snx-04,6,NX8_suvAdvancedStudio,7.5,123.43
snx-04,7,NX8_suvShaded,10,13.45
snx-04,8,NX8_suvShadedWithEdge,20,12.53
snx-04,9,NX8_suvStudio2,5,7.87
snx-04,10,NX8_suvWireframe,7.5,10.74
solidworks-05,1,SW2020_RallyCar_Realview,10,203.98
solidworks-05,2,SW2020_RallyCar_ShadedEdges,10,297.95
solidworks-05,3,SW2020_RallyCar_Shaded,15,382.48
solidworks-05,4,SW2020_Excavator_Shaded,5,360.94
solidworks-05,5,SW2020_Excavator_Realview,15,187.04
solidworks-05,6,SW2020_JetEngine_ShadedEdges,10,182.29
solidworks-05,7,SW2020_JetEngine_Shaded,10,296.81
solidworks-05,8,SW2020_JetEngine_Realview,10,133.91
solidworks-05,9,SW2020_SpaceCrawler_Shaded,5,14.73
solidworks-05,10,SW2020_SpaceCrawler_ShadedEdges,10,10.5
